Speed,Latitude,Longitude 
Red Light,-33.921053,151.191684
Red Light,-33.93394,151.19925
Red Light,-32.890059,151.726633
Red Light,-33.818278,150.982002
Red Light,-33.81764,150.981714
Red Light,-33.832451,150.96988
Red Light,-33.929359,150.979692
Red Light,-34.03506667,151.1128167
Red Light,-33.89464,151.221637
Red Light,-33.886839,151.219003
Red Light,-33.886409,151.219003
Red Light,-33.929234,150.948529
Red Light,-33.824447,151.238658
Red Light,-33.779018,150.814018
Red Light,-33.821865,151.201011
Red Light,-33.829902,151.21536
Red Light,-33.793378,151.119951
Red Light,-33.793277,151.119479
Red Light,-33.793034,151.119952
Red Light,-33.791496,151.130017
Red Light,-33.795427,150.990153
Red Light,-33.793959,150.983149
Red Light,-33.889736,151.232499
Red Light,-33.886275,151.217811
Red Light,-33.885784,151.218139
Red Light,-33.819269,150.999915
Red Light,-33.814854,151.00191
Red Light,-33.815943,150.999395
Red Light,-33.808757,151.005638
Red Light,-33.740444,151.060871
Red Light,-33.896422,151.152442
Red Light,-33.889916,151.149349
Red Light,-31.43301,152.9149
Red Light,-33.805152,150.927916
Red Light,-33.984013,151.136393
Red Light,-33.913259,151.242287
Red Light,-33.903022,151.244762
Red Light,-33.88988,151.2061
Red Light,-33.599044,150.751741
Red Light,-33.949753,151.148993
Red Light,-33.95307,151.137407
Red Light,-33.952803,151.137707
Red Light,-33.760375,150.846828
Red Light,-33.939975,151.075464
Red Light,-33.929356,151.073011
Red Light,-33.929551,151.071556
Red Light,-33.865183,151.172069
Red Light,-33.862815,151.168722
Red Light,-33.816027,151.103451
Red Light,-33.768286,150.943411
Red Light,-33.842261,151.044364
Red Light,-33.853333,150.941174
Red Light,-33.861903,150.938796
Red Light,-33.850998,150.922517
Red Light,-33.848982,150.922953
Red Light,-33.764347,150.709649
Red Light,-33.817305,150.962803
Red Light,-34.446146,150.87573
Red Light,-34.446028,150.876095
Red Light,-33.769462,150.768572
Red Light,-33.769671,150.768902
Red Light,-33.772929,150.773105
